ways,A,B,C,D,E,F
1,96.875,99.7952,99.7952,99.9488,99.7952,0
2,96.875,99.6896,99.6932,99.9488,99.6891,0.7947
4,96.875,99.5718,99.5717,99.9488,99.579,1.3867
8,96.875,99.4315,99.4549,99.945,99.4501,1.6886
16,96.875,99.2788,99.3392,99.9429,99.3581,1.8154
32,96.875,99.2018,99.1573,99.9431,99.3155,1.8912
1,96.875,99.7952,99.7952,99.9488,99.7952,0
2,96.875,99.6896,99.6932,99.9488,99.6891,0.7947
4,96.875,99.5718,99.5717,99.9488,99.579,1.3867
8,96.875,99.4315,99.4549,99.945,99.4501,1.6886
16,96.875,99.2788,99.3392,99.9429,99.3581,1.8154
32,96.875,99.2018,99.1573,99.9431,99.3155,1.8912
